"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2013","United States of America","USA","Canada","CAN","338233","264755.81"
"2013","United States of America","USA","Bahamas","BHS","620","4097.7202"
"2013","United States of America","USA","Cuba","CUB","0","394.01999"
"2013","United States of America","USA","Haiti","HTI","866.09998","1356.85"
"2013","United States of America","USA","Dominican Republic","DOM","4382.3999","7276.3706"
"2013","United States of America","USA","Jamaica","JAM","453.39999","2188.45"
"2013","United States of America","USA","Trinidad and Tobago","TTO","6852.3999","2644.8401"
"2013","United States of America","USA","Barbados","BRB","57.5","497.31"
"2013","United States of America","USA","Dominica","DMA","2.5999999","85.470001"
"2013","United States of America","USA","Grenada","GRD","10.2","104.94"
"2013","United States of America","USA","St. Lucia","LCA","17.4","729.19"
"2013","United States of America","USA","St. Vincent and the Grenadines","VCT","2.8","102.41"
"2013","United States of America","USA","Antigua & Barbuda","ATG","9.8999996","145.2"
"2013","United States of America","USA","St. Kitts and Nevis","KNA","60.299999","191.50999"
"2013","United States of America","USA","Mexico","MEX","283059.41","205988.11"
"2013","United States of America","USA","Belize","BLZ","133.8","265.32001"
"2013","United States of America","USA","Guatemala","GTM","4472.1001","6510.9858"
"2013","United States of America","USA","Honduras","HND","4758.3999","3972.2061"
"2013","United States of America","USA","El Salvador","SLV","2516.5","4190.4785"
"2013","United States of America","USA","Nicaragua","NIC","2880.3","844.96265"
"2013","United States of America","USA","Costa Rica","CRI","12175.6","9062.7471"
"2013","United States of America","USA","Panama","PAN","468.29999","3111.1409"
"2013","United States of America","USA","Colombia","COL","22152.199","16428.438"
"2013","United States of America","USA","Venezuela","VEN","32477.801","14542"
"2013","United States of America","USA","Guyana","GUY","478.70001","405.7691"
"2013","United States of America","USA","Suriname","SUR","330.70001","140.69261"
"2013","United States of America","USA","Ecuador","ECU","11973.7","7879.1289"
"2013","United States of America","USA","Peru","PER","8413.7002","9723.3184"
"2013","United States of America","USA","Brazil","BRA","28612.6","39902.895"
"2013","United States of America","USA","Bolivia","BOL","1298.6","1171.6193"
"2013","United States of America","USA","Paraguay","PRY","291.29999","808.51422"
"2013","United States of America","USA","Chile","CHL","11193.2","16077.306"
"2013","United States of America","USA","Argentina","ARG","4877.2002","8117.8149"
