"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"2003","Palau","PLW","United States of America","USA","0","0"
"2003","Palau","PLW","Canada","CAN","-9","-9"
"2003","Palau","PLW","Bahamas","BHS","-9","-9"
"2003","Palau","PLW","Cuba","CUB","-9","-9"
"2003","Palau","PLW","Haiti","HTI","-9","-9"
"2003","Palau","PLW","Dominican Republic","DOM","-9","-9"
"2003","Palau","PLW","Jamaica","JAM","-9","-9"
"2003","Palau","PLW","Trinidad and Tobago","TTO","-9","-9"
"2003","Palau","PLW","Barbados","BRB","-9","-9"
"2003","Palau","PLW","Dominica","DMA","-9","-9"
"2003","Palau","PLW","Grenada","GRD","-9","-9"
"2003","Palau","PLW","St. Lucia","LCA","0","0.00062963"
"2003","Palau","PLW","St. Vincent and the Grenadines","VCT","-9","-9"
"2003","Palau","PLW","Antigua & Barbuda","ATG","-9","-9"
"2003","Palau","PLW","St. Kitts and Nevis","KNA","-9","0"
"2003","Palau","PLW","Mexico","MEX","-9","-9"
"2003","Palau","PLW","Belize","BLZ","-9","-9"
"2003","Palau","PLW","Guatemala","GTM","0","0.075400002"
"2003","Palau","PLW","Honduras","HND","-9","-9"
"2003","Palau","PLW","El Salvador","SLV","-9","-9"
"2003","Palau","PLW","Nicaragua","NIC","-9","-9"
"2003","Palau","PLW","Costa Rica","CRI","0","0"
"2003","Palau","PLW","Panama","PAN","-9","-9"
"2003","Palau","PLW","Colombia","COL","0.002956","0.068113998"
"2003","Palau","PLW","Venezuela","VEN","-9","-9"
"2003","Palau","PLW","Guyana","GUY","-9","-9"
"2003","Palau","PLW","Suriname","SUR","-9","-9"
"2003","Palau","PLW","Ecuador","ECU","-9","-9"
"2003","Palau","PLW","Peru","PER","-9","-9"
"2003","Palau","PLW","Brazil","BRA","0","0.0016236"
"2003","Palau","PLW","Bolivia","BOL","-9","-9"
"2003","Palau","PLW","Paraguay","PRY","-9","-9"
"2003","Palau","PLW","Chile","CHL","-9","-9"
"2003","Palau","PLW","Argentina","ARG","-9","-9"
"2003","Palau","PLW","Uruguay","URY","-9","-9"
"2003","Palau","PLW","United Kingdom","GBR","0.026339395","0"
"2003","Palau","PLW","Ireland","IRL","-9","-9"
"2003","Palau","PLW","Netherlands","NLD","-9","-9"
"2003","Palau","PLW","Belgium","BEL","0","0"
"2003","Palau","PLW","Luxembourg","LUX","-9","-9"
"2003","Palau","PLW","France","FRA","-9","-9"
"2003","Palau","PLW","Monaco","MCO","-9","-9"
"2003","Palau","PLW","Liechtenstein","LIE","-9","-9"
"2003","Palau","PLW","Switzerland","CHE","0","0"
"2003","Palau","PLW","Spain","ESP","-9","-9"
"2003","Palau","PLW","Andorra","AND","-9","-9"
"2003","Palau","PLW","Portugal","PRT","-9","-9"
"2003","Palau","PLW","Germany","DEU","2.878","0.005"
"2003","Palau","PLW","Poland","POL","0","0.0242"
"2003","Palau","PLW","Austria","AUT","-9","-9"
"2003","Palau","PLW","Hungary","HUN","0","0"
"2003","Palau","PLW","Czech Republic","CZE","-9","-9"
"2003","Palau","PLW","Slovakia","SVK","0","0.000154"
"2003","Palau","PLW","Italy","ITA","-9","-9"
"2003","Palau","PLW","San Marino","SMR","-9","-9"
"2003","Palau","PLW","Malta","MLT","-9","-9"
"2003","Palau","PLW","Albania","ALB","-9","-9"
"2003","Palau","PLW","Macedonia","MKD","-9","-9"
"2003","Palau","PLW","Croatia","HRV","0","0"
"2003","Palau","PLW","Yugoslavia","YUG","-9","-9"
"2003","Palau","PLW","Bosnia and Herzegovina","BIH","-9","-9"
"2003","Palau","PLW","Slovenia","SVN","-9","-9"
"2003","Palau","PLW","Greece","GRC","-9","-9"
"2003","Palau","PLW","Cyprus","CYP","0","0"
"2003","Palau","PLW","Bulgaria","BGR","0","0"
"2003","Palau","PLW","Moldova","MDA","-9","-9"
"2003","Palau","PLW","Romania","ROU","-9","-9"
"2003","Palau","PLW","Russia","RUS","0","0"
"2003","Palau","PLW","Estonia","EST","0","0"
"2003","Palau","PLW","Latvia","LVA","-9","-9"
"2003","Palau","PLW","Lithuania","LTU","-9","-9"
"2003","Palau","PLW","Ukraine","UKR","0","0"
"2003","Palau","PLW","Belarus","BLR","-9","0"
"2003","Palau","PLW","Armenia","ARM","-9","-9"
"2003","Palau","PLW","Georgia","GEO","-9","-9"
"2003","Palau","PLW","Azerbaijan","AZE","-9","-9"
"2003","Palau","PLW","Finland","FIN","-9","-9"
"2003","Palau","PLW","Sweden","SWE","0.22306643","0"
"2003","Palau","PLW","Norway","NOR","0","0"
"2003","Palau","PLW","Denmark","DNK","0.34913692","0"
"2003","Palau","PLW","Iceland","ISL","-9","-9"
"2003","Palau","PLW","Cape Verde","CPV","-9","-9"
"2003","Palau","PLW","Sao Tome and Principe","STP","-9","-9"
"2003","Palau","PLW","Guinea-Bissau","GNB","-9","-9"
"2003","Palau","PLW","Equatorial Guinea","GNQ","-9","-9"
"2003","Palau","PLW","Gambia","GMB","-9","-9"
"2003","Palau","PLW","Mali","MLI","-9","-9"
"2003","Palau","PLW","Senegal","SEN","-9","-9"
"2003","Palau","PLW","Benin","BEN","-9","0"
"2003","Palau","PLW","Mauritania","MRT","-9","-9"
"2003","Palau","PLW","Niger","NER","-9","-9"
"2003","Palau","PLW","Ivory Coast","CIV","-9","-9"
"2003","Palau","PLW","Guinea","GIN","-9","-9"
"2003","Palau","PLW","Burkina Faso","BFA","-9","-9"
"2003","Palau","PLW","Liberia","LBR","-9","-9"
"2003","Palau","PLW","Sierra Leone","SLE","-9","-9"
"2003","Palau","PLW","Ghana","GHA","-9","-9"
"2003","Palau","PLW","Togo","TGO","-9","-9"
"2003","Palau","PLW","Cameroon","CMR","-9","-9"
"2003","Palau","PLW","Nigeria","NGA","0","0.000541686"
"2003","Palau","PLW","Gabon","GAB","-9","-9"
"2003","Palau","PLW","Central African Republic","CAF","-9","-9"
"2003","Palau","PLW","Chad","TCD","-9","-9"
"2003","Palau","PLW","Congo","COG","-9","-9"
"2003","Palau","PLW","Democratic Republic of the Congo","COD","-9","-9"
"2003","Palau","PLW","Uganda","UGA","-9","-9"
"2003","Palau","PLW","Kenya","KEN","-9","-9"
"2003","Palau","PLW","Tanzania","TZA","-9","-9"
