"Year","PrimaryName","PrimaryId","SecondaryName","SecondaryId","Imports","Exports"
"1999","Canada","CAN","United States of America","USA","157847.27","198828.5"
"1999","Canada","CAN","Bahamas","BHS","26.490652","16.594673"
"1999","Canada","CAN","Cuba","CUB","226.86069","269.42822"
"1999","Canada","CAN","Haiti","HTI","8.2939987","32.070263"
"1999","Canada","CAN","Dominican Republic","DOM","72.511147","45.300995"
"1999","Canada","CAN","Jamaica","JAM","148.96646","96.70919"
"1999","Canada","CAN","Trinidad and Tobago","TTO","54.054386","134.16217"
"1999","Canada","CAN","Barbados","BRB","7.894002","46.212547"
"1999","Canada","CAN","Dominica","DMA","1.2080082","3.2885184"
"1999","Canada","CAN","Grenada","GRD","1.1878095","7.2081113"
"1999","Canada","CAN","St. Lucia","LCA","0.43066159","11.734074"
"1999","Canada","CAN","St. Vincent and the Grenadines","VCT","0.11320289","5.0187254"
"1999","Canada","CAN","Antigua & Barbuda","ATG","0.29724616","7.5903735"
"1999","Canada","CAN","St. Kitts and Nevis","KNA","3.8051543","8.6091213"
"1999","Canada","CAN","Mexico","MEX","6889.0674","3243.7761"
"1999","Canada","CAN","Belize","BLZ","10.398122","5.4435"
"1999","Canada","CAN","Guatemala","GTM","90.106438","87.403809"
"1999","Canada","CAN","Honduras","HND","50.463203","13.414443"
"1999","Canada","CAN","El Salvador","SLV","26.958292","29.849899"
"1999","Canada","CAN","Nicaragua","NIC","18.079596","20.799999"
"1999","Canada","CAN","Costa Rica","CRI","130.34303","65.926712"
"1999","Canada","CAN","Panama","PAN","21.709036","30.137241"
"1999","Canada","CAN","Colombia","COL","201.89285","259.02649"
"1999","Canada","CAN","Venezuela","VEN","750.8974","290"
"1999","Canada","CAN","Guyana","GUY","142.08113","10.247849"
"1999","Canada","CAN","Suriname","SUR","61.134403","3.0250537"
"1999","Canada","CAN","Ecuador","ECU","108.55183","62.079403"
"1999","Canada","CAN","Peru","PER","108.89648","149.8904"
"1999","Canada","CAN","Brazil","BRA","997.20898","1069.4695"
"1999","Canada","CAN","Bolivia","BOL","12.25999","16.099831"
"1999","Canada","CAN","Paraguay","PRY","1.1400533","5.5626884"
"1999","Canada","CAN","Chile","CHL","311.36951","405.64999"
"1999","Canada","CAN","Argentina","ARG","224.71162","290.05469"
"1999","Canada","CAN","Uruguay","URY","65.770782","48.399895"
"1999","Canada","CAN","United Kingdom","GBR","5937.3462","5053.7764"
"1999","Canada","CAN","Ireland","IRL","897.52826","389.2355"
"1999","Canada","CAN","Netherlands","NLD","913.8988","1145.2207"
"1999","Canada","CAN","Belgium","BEL","692.87128","1250.151"
"1999","Canada","CAN","Luxembourg","LUX","46.607849","27.815599"
"1999","Canada","CAN","France","FRA","3963.0122","1625.4294"
"1999","Canada","CAN","Monaco","MCO","-9","-9"
"1999","Canada","CAN","Liechtenstein","LIE","-9","-9"
"1999","Canada","CAN","Switzerland","CHE","933.50787","424.79999"
"1999","Canada","CAN","Spain","ESP","631.32758","549.62769"
"1999","Canada","CAN","Andorra","AND","-9","-9"
"1999","Canada","CAN","Portugal","PRT","148.31139","94.652603"
"1999","Canada","CAN","Germany","DEU","5205.623","2754.5959"
"1999","Canada","CAN","Poland","POL","136.04836","185.7606"
"1999","Canada","CAN","Austria","AUT","472.94016","283.82831"
"1999","Canada","CAN","Hungary","HUN","74.422546","63.478001"
"1999","Canada","CAN","Czech Republic","CZE","97.653427","110.38674"
"1999","Canada","CAN","Slovakia","SVK","28.071712","28.569683"
"1999","Canada","CAN","Italy","ITA","2685.7292","1497.4489"
"1999","Canada","CAN","San Marino","SMR","-9","-9"
"1999","Canada","CAN","Malta","MLT","26.411457","7.0443482"
"1999","Canada","CAN","Albania","ALB","0.24233162","1.8665038"
"1999","Canada","CAN","Macedonia","MKD","10.681263","3.0475931"
"1999","Canada","CAN","Croatia","HRV","11.761734","52.959999"
"1999","Canada","CAN","Yugoslavia","YUG","-9","-9"
"1999","Canada","CAN","Bosnia and Herzegovina","BIH","1.4114293","1.1463217"
"1999","Canada","CAN","Slovenia","SVN","34.326481","54.281593"
"1999","Canada","CAN","Greece","GRC","71.654335","102.3378"
"1999","Canada","CAN","Cyprus","CYP","2.5974057","17.511192"
"1999","Canada","CAN","Bulgaria","BGR","36.408081","9.8990002"
"1999","Canada","CAN","Moldova","MDA","5.0661006","0.81940001"
"1999","Canada","CAN","Romania","ROU","51.6819","36.57"
"1999","Canada","CAN","Russia","RUS","449.05536","166.00676"
"1999","Canada","CAN","Estonia","EST","38.600208","7.0999999"
"1999","Canada","CAN","Latvia","LVA","18.788317","6.989563"
"1999","Canada","CAN","Lithuania","LTU","25.883888","11.023"
"1999","Canada","CAN","Ukraine","UKR","39.313393","17.200001"
"1999","Canada","CAN","Belarus","BLR","2.117528","8"
"1999","Canada","CAN","Armenia","ARM","0.63835073","10.0235"
"1999","Canada","CAN","Georgia","GEO","0.61516297","6.8254428"
"1999","Canada","CAN","Azerbaijan","AZE","0.76998878","2.855"
"1999","Canada","CAN","Finland","FIN","438.73972","148.72079"
"1999","Canada","CAN","Sweden","SWE","1113.7913","230.6501"
"1999","Canada","CAN","Norway","NOR","2067.6162","586.85175"
"1999","Canada","CAN","Denmark","DNK","457.14072","228.57401"
"1999","Canada","CAN","Iceland","ISL","66.545967","21.266363"
"1999","Canada","CAN","Cape Verde","CPV","-9","-9"
"1999","Canada","CAN","Sao Tome and Principe","STP","0.17744198","0.011853362"
"1999","Canada","CAN","Guinea-Bissau","GNB","0.000166721","0.016027559"
"1999","Canada","CAN","Equatorial Guinea","GNQ","0.006761127","0"
"1999","Canada","CAN","Gambia","GMB","0.08178851","0.17253043"
"1999","Canada","CAN","Mali","MLI","21.511534","7.3893752"
"1999","Canada","CAN","Senegal","SEN","2.6783245","20.579262"
"1999","Canada","CAN","Benin","BEN","0.068929166","2.0981026"
"1999","Canada","CAN","Mauritania","MRT","0.15810029","0.44776109"
"1999","Canada","CAN","Niger","NER","1.5404842","0.27286056"
"1999","Canada","CAN","Ivory Coast","CIV","56.273911","14.68339"
"1999","Canada","CAN","Guinea","GIN","6.520309","6.253417"
"1999","Canada","CAN","Burkina Faso","BFA","0.69379514","2.0606856"
"1999","Canada","CAN","Liberia","LBR","0.7134853","3.8022783"
"1999","Canada","CAN","Sierra Leone","SLE","3.079215","1.0013953"
"1999","Canada","CAN","Ghana","GHA","8.1702366","43.802185"
"1999","Canada","CAN","Togo","TGO","26.757042","13.684109"
"1999","Canada","CAN","Cameroon","CMR","17.123777","26.236841"
"1999","Canada","CAN","Nigeria","NGA","286.60284","21.312986"
"1999","Canada","CAN","Gabon","GAB","6.3332982","5.3018627"
"1999","Canada","CAN","Central African Republic","CAF","0.14195028","0.37052798"
"1999","Canada","CAN","Chad","TCD","0.031258762","0.2808384"
"1999","Canada","CAN","Congo","COG","1.6700184","3.3825841"
"1999","Canada","CAN","Democratic Republic of the Congo","COD","0.001986886","3.7876341"
"1999","Canada","CAN","Uganda","UGA","2.0827477","3.9572768"
"1999","Canada","CAN","Kenya","KEN","9.6238241","31.563246"
"1999","Canada","CAN","Tanzania","TZA","0.58479184","26.656906"
"1999","Canada","CAN","Burundi","BDI","0.36631933","0.2986359"
"1999","Canada","CAN","Rwanda","RWA","0.003319133","1.5890273"
"1999","Canada","CAN","Somalia","SOM","0.082337297","0.12761216"
"1999","Canada","CAN","Djibouti","DJI","0.033901095","2.0457134"
"1999","Canada","CAN","Ethiopia","ETH","5.6084785","6.7429514"
"1999","Canada","CAN","Eritrea","ERI","-9","-9"
"1999","Canada","CAN","Angola","AGO","0.010560505","4.5650311"
"1999","Canada","CAN","Mozambique","MOZ","0.20728464","15.3"
"1999","Canada","CAN","Zambia","ZMB","14.190116","10.686319"
"1999","Canada","CAN","Zimbabwe","ZWE","15.63864","8.1841402"
"1999","Canada","CAN","Malawi","MWI","0.94434744","3.5149763"
"1999","Canada","CAN","South Africa","ZAF","360.43625","137.42572"
"1999","Canada","CAN","Namibia","NAM","96.558441","2.6469955"
"1999","Canada","CAN","Lesotho","LSO","1.9805261","0.028139828"
"1999","Canada","CAN","Botswana","BWA","0.023656784","1.5771164"
"1999","Canada","CAN","Swaziland","SWZ","0.9745301","2.5388806"
"1999","Canada","CAN","Madagascar","MDG","4.6330838","1.1664221"
"1999","Canada","CAN","Comoros","COM","0.006237449","0"
"1999","Canada","CAN","Mauritius","MUS","16.183601","2.0333166"
"1999","Canada","CAN","Seychelles","SYC","0.25597817","0.48665595"
"1999","Canada","CAN","Morocco","MAR","90.257896","115.29633"
"1999","Canada","CAN","Algeria","DZA","485.24478","386.21924"
"1999","Canada","CAN","Tunisia","TUN","7.637938","57.152992"
"1999","Canada","CAN","Libya","LBY","5.51E-05","35.65723"
"1999","Canada","CAN","Sudan","SDN","0.1030905","17.717066"
"1999","Canada","CAN","Iran","IRN","82.135803","531"
"1999","Canada","CAN","Turkey","TUR","184.13196","176.26051"
"1999","Canada","CAN","Iraq","IRQ","111.56618","24.265083"
"1999","Canada","CAN","Egypt","EGY","29.456902","114.92539"
"1999","Canada","CAN","Syria","SYR","1.668818","12.943697"
"1999","Canada","CAN","Lebanon","LBN","11.369867","34.200001"
"1999","Canada","CAN","Jordan","JOR","0.73246855","14.59591"
"1999","Canada","CAN","Israel","ISR","327.5383","306.79999"
"1999","Canada","CAN","Saudi Arabia","SAU","297.07751","352.83203"
"1999","Canada","CAN","Yemen","YEM","0.19354239","15.08778"
"1999","Canada","CAN","Kuwait","KWT","2.2863882","156.24146"
"1999","Canada","CAN","Bahrain","BHR","3.7693911","6.7833362"
"1999","Canada","CAN","Qatar","QAT","4.4359727","17.225275"
"1999","Canada","CAN","United Arab Emirates","ARE","21.745869","136.80232"
"1999","Canada","CAN","Oman","OMN","1.1247344","14.282619"
"1999","Canada","CAN","Afghanistan","AFG","0.298603","0.60039598"
"1999","Canada","CAN","Turkmenistan","TKM","0.027960636","0.69999999"
"1999","Canada","CAN","Tajikistan","TJK","4.4337583","0.72799999"
"1999","Canada","CAN","Kyrgyzstan","KGZ","0.065536425","25.4"
"1999","Canada","CAN","Uzbekistan","UZB","7.3921256","1.634933"
"1999","Canada","CAN","Kazakhstan","KAZ","5.707489","17.299999"
"1999","Canada","CAN","China","CHN","7627.3838","3333.541"
"1999","Canada","CAN","Mongolia","MNG","0.38999999","2.54"
"1999","Canada","CAN","Taiwan","TWN","3409.6082","740.33893"
"1999","Canada","CAN","North Korea","PRK","0.18017332","1.9392164"
"1999","Canada","CAN","South Korea","KOR","2643.9785","1792.8"
"1999","Canada","CAN","Japan","JPN","11114.687","7896.3813"
"1999","Canada","CAN","India","IND","752.33813","381.77499"
"1999","Canada","CAN","Bhutan","BTN","0.002916991","0"
"1999","Canada","CAN","Pakistan","PAK","180.00476","79.111275"
"1999","Canada","CAN","Bangladesh","BGD","109.07331","85.668648"
"1999","Canada","CAN","Myanmar","MMR","20.312878","0.063642584"
"1999","Canada","CAN","Sri Lanka","LKA","67.906303","22.646799"
"1999","Canada","CAN","Maldives","MDV","3.3764875","6.3915887"
"1999","Canada","CAN","Nepal","NPL","4.8499475","2.5406928"
"1999","Canada","CAN","Thailand","THA","1116.5481","334.45374"
"1999","Canada","CAN","Cambodia","KHM","8.3577623","3.98"
"1999","Canada","CAN","Laos","LAO","2.1222966","0.021742668"
"1999","Canada","CAN","Vietnam","VNM","143.74117","49.525002"
"1999","Canada","CAN","Malaysia","MYS","1523.1204","381.34875"
"1999","Canada","CAN","Singapore","SGP","913.22034","412.22372"
"1999","Canada","CAN","Brunei","BRN","0.70833915","3.9662607"
"1999","Canada","CAN","Philippines","PHL","772.63177","198.23737"
"1999","Canada","CAN","Indonesia","IDN","639.18494","421.17764"
"1999","Canada","CAN","Australia","AUS","892.7276","1150.8376"
"1999","Canada","CAN","Papua New Guinea","PNG","9.712266","1.5039134"
"1999","Canada","CAN","New Zealand","NZL","274.23932","201.53027"
"1999","Canada","CAN","Vanuatu","VUT","0.10470611","0.28361252"
"1999","Canada","CAN","Solomon Islands","SLB","0.008488751","0.25754842"
"1999","Canada","CAN","Kiribati","KIR","0","0"
"1999","Canada","CAN","Fiji","FJI","3.1637084","2.513155"
"1999","Canada","CAN","Tonga","TON","0.58133709","0.024889305"
"1999","Canada","CAN","Nauru","NRU","0.042574063","0.014172556"
"1999","Canada","CAN","Marshall Islands","MHL","-9","-9"
"1999","Canada","CAN","Palau","PLW","-9","-9"
"1999","Canada","CAN","Federated States of Micronesia","FSM","-9","-9"
"1999","Canada","CAN","Samoa","WSM","0.05790519","0.78092408"
